id,SalePrice
1461,120325.19328834125
1462,154233.01995464534
1463,184193.5144423623
1464,195895.89578101752
1465,195444.9056236291
1466,171322.35672967098
1467,176868.79556226867
1468,161718.5618143401
1469,193228.13869215176
1470,121449.86018677501
1471,186386.7659199912
1472,96218.49926986345
1473,96506.4223921913
1474,147149.30733204877
1475,114457.72279743833
1476,368694.991845023
1477,253776.5994979145
1478,296191.0481901317
1479,300605.8328622952
1480,482396.51422800845
1481,330374.1959684007
1482,209539.6249406805
1483,176074.69362407125
1484,163439.04937718203
1485,188476.5671746218
1486,191164.9016416952
1487,344509.33538140176
1488,238052.92547193405
1489,196103.26846909794
1490,231852.0261642394
1491,193983.54493566937
1492,93891.83801082737
1493,187423.35556559218
1494,304543.5892440366
1495,295240.50378766214
1496,236444.334098408
1497,180253.16479779483
1498,172512.89852232483
1499,163319.15997776116
1500,151411.4534315085
1501,176016.94911314634
1502,143925.07879301003
1503,298516.7460098418
1504,242322.83655280079
1505,226676.26263034172
1506,188868.99377137033
1507,245321.0004443804
1508,202913.68321845934
1509,163358.35315097123
1510,144923.88929292155
1511,152219.5890087161
1512,173236.67602386122
1513,150705.9334086407
1514,156814.50426931298
1515,196934.12080392402
1516,158290.64155426025
1517,167478.78317603885
1518,132412.7838403259
1519,207885.79214725405
1520,128801.16723595446
1521,131611.2321736213
1522,177189.0348521106
1523,111864.78016628728
1524,125161.30847492984
1525,121073.17130206179
1526,114676.79391109855
1527,107123.45148756297
1528,134088.89734623223
1529,151926.94436074313
1530,184280.0569131701
1531,106401.2700695285
1532,97224.26788108518
1533,142823.74013208886
1534,126209.86091787627
1535,147560.45412770996
1536,105678.29542613128
1537,65322.664008615684
1538,148190.47632173877
1539,190431.87795004764
1540,89367.3620793606
1541,139339.85070274104
1542,142269.1040889017
1543,192928.02883426994
1544,83123.76126463141
1545,114009.68553816408
1546,133777.11383500008
1547,129286.0237996743
1548,136756.04320523876
1549,117594.35237403706
1550,138003.25463827368
1551,108724.83506560062
1552,139464.93072996673
1553,149115.72931989882
1554,117286.47959728526
1555,162693.43939377993
1556,84343.02034317718
1557,110012.07455072072
1558,96877.00910076278
1559,62738.1583112583
1560,132824.97156587383
1561,128558.31508310253
1562,129260.81905440753
1563,118662.3273766215
1564,156471.25131854165
1565,152466.648869816
1566,236701.27204316616
1567,76295.95187392778
1568,233344.18159459528
1569,131784.0831988297
1570,135536.19812483544
1571,119188.03356331144
1572,142426.9586421361
1573,238326.42006864247
1574,117531.5942568295
1575,232197.61908732535
1576,234085.2189162767
1577,182902.05375711646
1578,147315.62458370512
1579,147902.25614186685
1580,196219.62007787538
1581,152297.4517782822
1582,126950.837853493
1583,300706.19938572554
1584,215822.56028078657
1585,136959.17727994727
1586,71131.21388824706
1587,105886.9619837915
1588,149801.4677381643
1589,97152.6244323992
1590,132579.8421957712
1591,93847.71441201534
1592,115003.5713882113
1593,129807.97411806868
1594,125371.92349718322
1595,109759.53891218794
1596,224226.95145903504
1597,195721.45801992965
1598,226234.25481278443
1599,174648.52001007984
1600,164458.00573632747
1601,69030.27429772902
1602,116470.92446230058
1603,70167.94127482796
1604,262803.5040031507
1605,241537.56855886467
1606,168033.60004902905
1607,171552.4998767884
1608,214764.97038186796
1609,186888.42932559166
1610,151088.15318187495
1611,137935.06332087208
1612,168640.06691057343
1613,160023.54949705015
1614,125819.26324249414
1615,91248.95433186722
1616,76917.59642703156
1617,93961.20854495186
1618,128691.46484986195
1619,141606.88605519908
1620,154138.74416395748
1621,136557.7896243912
1622,141637.59392567398
1623,259195.28321754758
1624,207910.2163214971
1625,120996.89784824068
1626,168860.82887226483
1627,190442.35759973837
1628,277165.2704014542
1629,184312.88812867785
1630,348368.4881092476
1631,231136.92986939312
1632,245710.56332326442
